,0
0,Wisconsin
1,Wyoming
2,New Hampshire
3,Missouri
4,Tennessee
5,Utah
6,Arizona
7,Oregon
8,Montana
9,Nevada
10,Georgia
11,Alabama
12,South Carolina
13,Illinois
14,Connecticut
15,Massachusetts
16,Maryland
17,Pennsylvania
18,North Carolina
19,Alaska
20,Idaho
21,Kentucky
22,Nebraska
23,Arkansas
24,Kansas
25,Colorado
26,Louisiana
27,Delaware
28,Indiana
29,Mississippi
30,Rhode Island
31,Vermont
32,Maine
33,Florida
34,Michigan
35,Oklahoma
36,New Mexico
37,Texas
